OBJECTID	FORMULARIO	GRAVEDAD	CLASE_ACC
416729	A001181466	SOLO DANOS	CHOQUE
416730	A001180317	SOLO DANOS	CHOQUE
416731	A001232980	CON HERIDOS	CHOQUE
416732	A001180862	SOLO DANOS	CHOQUE
416733	A001183778	CON HERIDOS	ATROPELLO
416734	A001184749	SOLO DANOS	CHOQUE
416735	A001185342	SOLO DANOS	CHOQUE
416736	A001234203	SOLO DANOS	CHOQUE
416737	A001182745	SOLO DANOS	CHOQUE
416738	A001178812	SOLO DANOS	CHOQUE
416739	A001183247	CON HERIDOS	ATROPELLO
416740	A001233380	SOLO DANOS	CHOQUE
416741	A001234239	SOLO DANOS	CHOQUE
416742	A001232483	CON HERIDOS	ATROPELLO
416743	A001234639	CON HERIDOS	CAIDA DE OCUPANTE
416744	A001183643	SOLO DANOS	CHOQUE
416745	A001234211	SOLO DANOS	CHOQUE
416746	A001179476	SOLO DANOS	VOLCAMIENTO
416790	A001182938	SOLO DANOS	CHOQUE
416791	A001183076	CON HERIDOS	VOLCAMIENTO
416792	A001178199	SOLO DANOS	CHOQUE
416793	A001183517	CON HERIDOS	CHOQUE
416794	A001178125	SOLO DANOS	CHOQUE
416795	A001182236	SOLO DANOS	CHOQUE
416796	A001177967	SOLO DANOS	CHOQUE
416797	A001182715	SOLO DANOS	CHOQUE
416798	A001183333	CON HERIDOS	CHOQUE
416799	A001182524	SOLO DANOS	CHOQUE
416800	A001180999	SOLO DANOS	CHOQUE
416801	A001180201	SOLO DANOS	CHOQUE
416802	A001182241	SOLO DANOS	CHOQUE
416803	A001182652	SOLO DANOS	CHOQUE
416804	A001177771	SOLO DANOS	CHOQUE
416805	A001178366	SOLO DANOS	CHOQUE
416806	A001182970	CON HERIDOS	CHOQUE
416807	A001183142	CON HERIDOS	CHOQUE
416808	A001177306	SOLO DANOS	CHOQUE
416809	A001182562	CON HERIDOS	ATROPELLO
416810	A001176518	SOLO DANOS	CHOQUE
416811	A001179449	CON HERIDOS	CHOQUE
416812	A001183308	SOLO DANOS	CHOQUE
416813	A001182279	CON HERIDOS	CHOQUE
416814	A001182580	CON HERIDOS	CHOQUE
416815	A001183052	SOLO DANOS	CHOQUE
416816	A001133680	SOLO DANOS	CHOQUE
416817	A001183409	CON HERIDOS	CHOQUE
416818	A001183043	SOLO DANOS	CHOQUE
416819	A001177095	SOLO DANOS	CHOQUE
416820	A001182396	SOLO DANOS	CHOQUE
416821	A001178512	SOLO DANOS	CHOQUE
416822	A001180216	SOLO DANOS	CHOQUE
416823	A001182665	CON HERIDOS	CHOQUE
416824	A001178641	SOLO DANOS	CHOQUE
416825	A001183395	CON HERIDOS	CHOQUE
416826	A001182827	SOLO DANOS	CHOQUE
416827	A001182939	CON HERIDOS	VOLCAMIENTO
416828	A001178053	SOLO DANOS	CHOQUE
416829	A001178107	CON HERIDOS	CHOQUE
416830	A001177437	SOLO DANOS	CHOQUE
416834	A001183468	SOLO DANOS	CHOQUE
416838	A001128417	SOLO DANOS	CHOQUE
416839	A001175557	CON HERIDOS	ATROPELLO
416842	A001180148	SOLO DANOS	CHOQUE
416844	A001182850	CON HERIDOS	CHOQUE
416845	A001184040	CON HERIDOS	CHOQUE
416846	A001233320	SOLO DANOS	CHOQUE
416849	A001236216	SOLO DANOS	CHOQUE
416850	A001233998	SOLO DANOS	CHOQUE
416858	A001134914	CON HERIDOS	ATROPELLO
416859	A001178760	SOLO DANOS	CHOQUE
416861	A001183944	CON HERIDOS	CHOQUE
416862	A001181587	SOLO DANOS	CHOQUE
416864	A001133082	CON HERIDOS	ATROPELLO
416870	A001181133	SOLO DANOS	CHOQUE
416873	A001134000	SOLO DANOS	CHOQUE
416874	A001136216	CON HERIDOS	CHOQUE
416875	A001183940	SOLO DANOS	CHOQUE
416878	A001134269	SOLO DANOS	CHOQUE
416881	A001181732	SOLO DANOS	CHOQUE
416883	A001182196	CON HERIDOS	ATROPELLO
416884	A001181974	CON HERIDOS	CHOQUE
416885	A001181437	CON HERIDOS	CHOQUE
416886	A001177889	SOLO DANOS	VOLCAMIENTO
416887	A001179167	SOLO DANOS	CHOQUE
416888	A001182506	CON HERIDOS	CHOQUE
416889	A001182689	CON MUERTOS	VOLCAMIENTO
416890	A001177050	SOLO DANOS	OTRO
416891	A001182202	SOLO DANOS	CHOQUE
416892	A001176466	SOLO DANOS	CHOQUE
416893	A001182097	SOLO DANOS	CHOQUE
416894	A001177025	SOLO DANOS	CHOQUE
416895	A001180436	SOLO DANOS	CHOQUE
416896	A001177414	SOLO DANOS	CHOQUE
416898	A001181080	CON HERIDOS	ATROPELLO
416899	A001177880	SOLO DANOS	CHOQUE
416900	A001182557	CON HERIDOS	CHOQUE
416901	A001178334	SOLO DANOS	CHOQUE
416902	A001177733	SOLO DANOS	CHOQUE
416903	A001181531	SOLO DANOS	CHOQUE
416905	A001181851	SOLO DANOS	CHOQUE
416906	A001178151	SOLO DANOS	CHOQUE
416907	A001178756	SOLO DANOS	CHOQUE
416908	A001177490	SOLO DANOS	CHOQUE
416909	A001181595	SOLO DANOS	CHOQUE
416910	A001177844	SOLO DANOS	CHOQUE
416911	A001180653	SOLO DANOS	CHOQUE
416912	A001182254	SOLO DANOS	CHOQUE
416914	A001177594	SOLO DANOS	CHOQUE
416915	A001177005	SOLO DANOS	CHOQUE
416918	A001182497	SOLO DANOS	CHOQUE
