"OBJECTID";"FECHA_OCURRENCIA_ACC";"ANO_OCURRENCIA_ACC";"FORMULARIO";"CLASE_ACC"
399359;"2020/03/04 00:00:00+00";2020;"A001133139";"CHOQUE"
399360;"2020/03/05 00:00:00+00";2020;"A001135398";"CHOQUE"
399361;"2020/03/02 00:00:00+00";2020;"A001130720";"CHOQUE"
399362;"2020/03/05 00:00:00+00";2020;"A001134953";"CHOQUE"
399363;"2020/03/03 00:00:00+00";2020;"A001135310";"CHOQUE"
399364;"2020/03/05 00:00:00+00";2020;"A001134658";"CHOQUE"
399365;"2020/03/05 00:00:00+00";2020;"A001134793";"CHOQUE"
399366;"2020/03/04 00:00:00+00";2020;"A001132796";"CHOQUE"
399367;"2020/03/04 00:00:00+00";2020;"A001134940";"CHOQUE"
399368;"2020/03/04 00:00:00+00";2020;"A001135425";"CHOQUE"
399369;"2020/03/04 00:00:00+00";2020;"A001135465";"CHOQUE"
399370;"2020/03/05 00:00:00+00";2020;"A001135719";"ATROPELLO"
399371;"2020/03/05 00:00:00+00";2020;"A001134792";"CHOQUE"
399372;"2020/03/05 00:00:00+00";2020;"A001134902";"CHOQUE"
399373;"2020/03/03 00:00:00+00";2020;"A001135494";"CHOQUE"
399374;"2020/03/05 00:00:00+00";2020;"A001134643";"CHOQUE"
399375;"2020/03/05 00:00:00+00";2020;"A001135640";"CHOQUE"
399376;"2020/03/05 00:00:00+00";2020;"A001135507";"ATROPELLO"
399377;"2020/03/05 00:00:00+00";2020;"A001133677";"CHOQUE"
399378;"2020/03/05 00:00:00+00";2020;"A001134947";"CHOQUE"
399379;"2020/03/05 00:00:00+00";2020;"A001135627";"CHOQUE"
399380;"2020/03/05 00:00:00+00";2020;"A001135668";"CHOQUE"
399381;"2020/03/05 00:00:00+00";2020;"A001135693";"CHOQUE"
399382;"2020/03/06 00:00:00+00";2020;"A001135889";"ATROPELLO"
399383;"2020/03/05 00:00:00+00";2020;"A001135419";"CHOQUE"
399384;"2020/03/06 00:00:00+00";2020;"A001135878";"CHOQUE"
399385;"2020/03/06 00:00:00+00";2020;"A001135491";"CHOQUE"
399386;"2020/03/05 00:00:00+00";2020;"A001135904";"CHOQUE"
399387;"2020/03/06 00:00:00+00";2020;"A001135839";"CHOQUE"
399388;"2020/03/05 00:00:00+00";2020;"A001134661";"CHOQUE"
399389;"2020/03/06 00:00:00+00";2020;"A001135257";"CHOQUE"
399390;"2020/03/05 00:00:00+00";2020;"A001135513";"CHOQUE"
399391;"2020/03/06 00:00:00+00";2020;"A001135429";"ATROPELLO"
399392;"2020/03/06 00:00:00+00";2020;"A001135348";"CHOQUE"
399393;"2020/03/05 00:00:00+00";2020;"A001135645";"CHOQUE"
399394;"2020/03/05 00:00:00+00";2020;"A001135046";"CHOQUE"
399395;"2020/03/05 00:00:00+00";2020;"A001135064";"CHOQUE"
399396;"2020/03/05 00:00:00+00";2020;"A001135291";"CHOQUE"
399397;"2020/03/06 00:00:00+00";2020;"A001135346";"VOLCAMIENTO"
399398;"2020/03/05 00:00:00+00";2020;"A001134116";"CHOQUE"
399399;"2020/03/05 00:00:00+00";2020;"A001135028";"CHOQUE"
399400;"2020/03/05 00:00:00+00";2020;"A001133899";"CHOQUE"
399401;"2020/03/04 00:00:00+00";2020;"A001134430";"CHOQUE"
399420;"2020/03/13 00:00:00+00";2020;"A001135575";"CHOQUE"
399422;"2020/02/02 00:00:00+00";2020;"A001132725";"CHOQUE"
399427;"2020/03/06 00:00:00+00";2020;"A001135234";"CHOQUE"
399428;"2020/03/18 00:00:00+00";2020;"A001132048";"CHOQUE"
399435;"2020/03/03 00:00:00+00";2020;"A001135154";"CHOQUE"
399439;"2020/01/18 00:00:00+00";2020;"A001127522";"ATROPELLO"
