id;name;duration_ms
2Oycxb8QbPkpHTo8ZrmG0B;Prisoner (feat. Dua Lipa);169333
2DEZmgHKAvm41k4J3R2E9Y;Safaera;295177
6Ozh9Ok6h4Oi1wUSLtBseN;BOP;159715
1Cv1YLb4q0RzL6pybtaMLo;Sunday Best;158571
2wrJq5XKLnmhRXHIAf9xBa;10,000 Hours (with Justin Bieber);167693
527k23H0A4Q0UJN3vGs0Da;After Party;167916
2dpaYNEQHiRxtZbfNsse99;Happier;214290
2VxeLyX666F8uXCJ0dZF8B;Shallow;215733
6N22FZs2ZhPBYi3b9XPajV;Still Don't Know My Name;153294
3e9HZxeyfWwjeyPAMmWSSQ;thank u, next;207320
0TK2YIli7K1leLovkQiNik;Señorita;190960
7BKLCZ1jbUBVqRi2FVlTVw;Closer;244960
62vpWI1CHwFy7tMIcSStl8;No Role Modelz;292987
7ce20yLkzuXXLUhzIDoZih;Before You Go;215107
1JSTJqkT5qHq8MDJnJbRE1;Every Breath You Take;253920
6wJYhPfqk3KGhHRG76WzOh;Blueberry Faygo;162547
1VLtjHwRWOVJiE5Py7JxoQ;Martin & Gina;132833
4ZLzoOkj0MPWrTLvooIuaa;Get You The Moon (feat. Snøw);179080
30KctD1WsHKTIYczXjip5a;Tequila Shots;193293
75JFxkI2RXiU7L9VXzMkle;The Scientist;309600
60a0Rd6pjrkxjPbaKzXjfq;In the End;216880
4lsHZ92XCFOQfzJFBTluk8;You Got It;201587
4Z5FyQlevoHoa5FsIVKZju;PRACTICE;122587
127QTOFJsJQp5LbJbu3A1y;Toosie Slide;247059
4aarlAfLKVCTxUDNgbwhjH;Cry Baby (feat. DaBaby);137984
69Y5IZuBvGyzySFt5x7kCq;Más De La Una;236731
1ko2lVN0vKGUl9zrU0qSlT;Just the Two of Us (feat. Bill Withers);237106
78qd8dvwea0Gosb6Fe6j3k;Boss Bitch;134240
1HNkqx9Ahdgi1Ixy2xkKkL;Photograph;258987
2WfaOiMkCvy7F5fcp2zZ8L;Take on Me;225280
3gD4J3RUHy4OUuZ3qAiaiG;Caramelo;217547
6Gg1gjgKi2AK4e0qzsR7sd;Bandit (with YoungBoy Never Broke Again);189323
34gCuhDGsG4bRPIf9bb02f;Thinking out Loud;281560
2P91MQbaiQOfbiz9VqhqKQ;I Like Me Better;197437
1rqqCSm0Qe4I9rUvWncaom;High Hopes;190947
3QzAOrNlsabgbMwlZt7TAY;Ballin' (with Roddy Ricch);180435
6DCZcSspjsKoFjzjrWoCdn;God's Plan;198973
7xQAfvXzm3AkraOtGPWIZg;Wow.;149547
22LAwLoDA5b4AaGSkg6bKW;Blueberry Faygo;162547
6gi6y1xwmVszDWkUqab1qw;OUT WEST (feat. Young Thug);157712
7dt6x5M1jzdTEt8oCbisTK;Better Now;231267
4UKCKdYiLN6IMA5ZESUTL7;the remedy for a broken heart (why am I so in love);160184
3qgPpwtuRu5oP8EtFSj8HE;SO DONE;126521
4Of7rzpRpV1mWRbhp5rAqG;Bruises;220492
4jvjzW7Hm0yK4LvvE0Paz9;Falling Down - Bonus Track;196400
3H3r2nKWa3Yk5gt8xgmsEt;This City;194853
1SV1fxF65n9NhRHp3KlBuu;Wonderful Christmastime - Edited Version / Remastered 2011;227653
2tFwfmceQa1Y6nRPhYbEtC;CÓMO SE SIENTE - Remix;227520
0fea68AdmYNygeTGI4RC18;LA CANCIÓN;242573
4l0Mvzj72xxOpRrp6h8nHi;Lose You To Love Me;206459
0SqqAgdovOE24BzxIClpjw;Yo Perreo Sola;172127
5fROvzNghPid8mbKNDYvpJ;YO VISTO ASÍ;191526
22vgEDb5hykfaTwLuskFGD;Sucker;181027
7o4gBbTM6UBLkOYPw9xMCz;Moonwalking in Calabasas (feat. Blueface) - Remix;170233
0k7wmahjkn389wAZdz19Cv;Drankin N Smokin;213520
4xkOaSrkexMciUUogZKVTS;'Till I Collapse;297787
5ChkMS8OtdzJeqyybCc9R5;Billie Jean;293827
0nJW01T7XtvILxQgC5J7Wh;When I Was Your Man;213827
7aGyRfJWtLqgJaZoG9lJhE;Mad at Disney;136839
1nYzjrdVQ8RpF93M0jPFW7;Remember That Night?;227186
0DmAvNCAK08oCi7miSZUIY;Lasting Lover;218359
40riOy7x9W7GXjyGp4pjAv;Hotel California - 2013 Remaster;391376
7GX5flRQZVHRAGd6B4TmDO;XO Tour Llif3;182707
7AQim7LbvFVZJE3O8TYgf2;Fuck Love (feat. Trippie Redd);146520
27RYrbL6S02LNVhDWVl38b;Happy Xmas (War Is Over) - Remastered 2010;214333
3QCU8BT0zDS9LPVfEhRFEE;ALWAYS DO;151705
5IUtvfNvOyVYZUa6AJFrnP;Spicy (feat. Post Malone);143375
5hvwx5i67IwnCkjl9VHkNv;Diamonds;213869
37ZtpRBkHcaq6hHy0X98zn;I CAN'T STOP ME;205493
7MXVkk9YMctZqd1Srtv4MB;Starboy;230453
4wVOKKEHUJxHCFFNUWDn0B;Chicago Freestyle (feat. Giveon);220488
4K8cyoCDovlc4FvtUr2Hfx;Nada;174027
1mohfLaTJtB2RplHLQVM70;La Jeepeta - Remix;345241
5CFJRZRq6sdKKtRwNPWbYv;Show Out (with Skepta & Pop Smoke);174960
1pqnQ41XbfKjaFu6M0eGJp;"Agua (with J Balvin) - Music From ""Sponge On The Run"" Movie";157944
3CRDbSIZ4r5MsZ0YwxuEkn;Stressed Out;202333
0ada5XsQGLPUVbmTCkAP49;Hate The Other Side (with Marshmello & The Kid Laroi);160212
5cpJFiNwYyWwFLH0V6B3N8;Del Mar;214507
1zB4vmk8tFRmM9UULNzbLB;Thunder;187147
5VlTQnZO89Ioku8ssdbqJk;Dead Man Walking;247080
5dOxHHMOFAbG3VH23t0xNm;Righteous;242181
4SFknyjLcyTLJFPKD2m96o;How You Like That;180947
7LE1K0lZyRFZjSlrnm7lfD;La Curiosidad (feat. Dj Nelson, Jhay Cortez, Lunay & Kendo Kaponi) - Blue Grand Prix Remix;382555
0n2moJpAEWHwaPYYjkzMDl;Blue & Grey;254950
2BOqDYLOJBiMOXShCV1neZ;Dancing On My Own;260285
1cVlW9WQiGlFdWUXFdFZGh;Pa' Olvidarme De Ella;227234
2FVpOsjT1iquZ3SpCjZ9Ne;Telepathy;202313
3QH8rQGNFX8VLbCgZ7uPTS;Fly To My Room;222243
5KawlOMHjWeUjQtnuRs22c;Boy With Luv (feat. Halsey);229773
6dGnYIeXmHdcikdzNNDMm2;Here Comes The Sun - Remastered 2009;185733
1lOe9qE0vR9zwWQAOk6CoO;Ransom;131240
4Yxc55NX3tAXC2mHRAhtcW;"All I Want - From ""High School Musical: The Musical: The Series""";177323
2BgEsaKNfHUdlh97KmvFyo;2002;186987
3EPXxR3ImUwfayaurPi3cm;Be Alright;196373
2374M0fQpWi3dLnB54qaLX;Africa;295893
5O2P9iiztwhomNh8xkR9lJ;Night Changes;226600
58wyJLv6yH1La9NIZPl3ne;Can We Kiss Forever?;187932
4nK5YrxbMGZstTLbvj6Gxw;Supalonely;223480
3ZFTkvIE7kyPt6Nu3PEa7V;Hips Don't Lie (feat. Wyclef Jean);218093
6Juv5N0dNU1imms9c9u1dA;Papi Chulo;161668
5ASM6Qjiav2xPe7gRkQMsQ;Sleigh Ride;181267
7DnAm9FOTWE3cUvso43HhI;Sweet but Psycho;187436
3bidbhpOYeV4knp8AIu8Xn;Can't Hold Us - feat. Ray Dalton;258343
1Xi84slp6FryDSCbzq4UCD;Arcade;183624
2YpeDb67231RjR0MgVLzsG;Old Town Road - Remix;157067
6qCsKKS7Ol63SJW3LOIX5R;Plastic Hearts;205733
0ct6r3EGTcMLPtrXHDvVjc;The Nights;176658
6XHVuErjQ4XNm6nDPVCxVX;No Guidance (feat. Drake);260640
