"id"	"release_date"	"name"	"popularity"
"4l0Mvzj72xxOpRrp6h8nHi"	"2020-01-10"	"Lose You To Love Me"	83
"0SqqAgdovOE24BzxIClpjw"	"2020-02-28"	"Yo Perreo Sola"	83
"5fROvzNghPid8mbKNDYvpJ"	"2020-11-27"	"YO VISTO ASÍ"	83
"22vgEDb5hykfaTwLuskFGD"	"2019-06-07"	"Sucker"	83
"7o4gBbTM6UBLkOYPw9xMCz"	"2020-12-02"	"Moonwalking in Calabasas (feat. Blueface) - Remix"	83
"0k7wmahjkn389wAZdz19Cv"	"2020-11-13"	"Drankin N Smokin"	83
"4xkOaSrkexMciUUogZKVTS"	"2002-05-26"	"'Till I Collapse"	83
"5ChkMS8OtdzJeqyybCc9R5"	"1982-11-30"	"Billie Jean"	83
"0nJW01T7XtvILxQgC5J7Wh"	"2012-12-07"	"When I Was Your Man"	83
"7aGyRfJWtLqgJaZoG9lJhE"	"2020-07-24"	"Mad at Disney"	83
"1nYzjrdVQ8RpF93M0jPFW7"	"2020-11-06"	"Remember That Night?"	83
"0DmAvNCAK08oCi7miSZUIY"	"2020-09-04"	"Lasting Lover"	83
"40riOy7x9W7GXjyGp4pjAv"	"1976-12-08"	"Hotel California - 2013 Remaster"	83
"7GX5flRQZVHRAGd6B4TmDO"	"2017-08-25"	"XO Tour Llif3"	83
"7AQim7LbvFVZJE3O8TYgf2"	"2017-08-25"	"Fuck Love (feat. Trippie Redd)"	83
"27RYrbL6S02LNVhDWVl38b"	"2010-10-05"	"Happy Xmas (War Is Over) - Remastered 2010"	83
"3QCU8BT0zDS9LPVfEhRFEE"	"2020-11-06"	"ALWAYS DO"	83
"5IUtvfNvOyVYZUa6AJFrnP"	"2020-10-23"	"Spicy (feat. Post Malone)"	83
"5hvwx5i67IwnCkjl9VHkNv"	"2020-09-17"	"Diamonds"	83
"37ZtpRBkHcaq6hHy0X98zn"	"2020-10-26"	"I CAN'T STOP ME"	83
"7MXVkk9YMctZqd1Srtv4MB"	"2016-11-25"	"Starboy"	83
"4wVOKKEHUJxHCFFNUWDn0B"	"2020-05-01"	"Chicago Freestyle (feat. Giveon)"	83
"4K8cyoCDovlc4FvtUr2Hfx"	"2020-08-14"	"Nada"	83
"1mohfLaTJtB2RplHLQVM70"	"2020-04-24"	"La Jeepeta - Remix"	83
"5CFJRZRq6sdKKtRwNPWbYv"	"2020-12-11"	"Show Out (with Skepta & Pop Smoke)"	83
"1pqnQ41XbfKjaFu6M0eGJp"	"2020-07-09"	"Agua (with J Balvin) - Music From ""Sponge On The Run"" Movie"	83
"3CRDbSIZ4r5MsZ0YwxuEkn"	"2015-05-15"	"Stressed Out"	83
"0ada5XsQGLPUVbmTCkAP49"	"2020-07-10"	"Hate The Other Side (with Marshmello & The Kid Laroi)"	83
"5cpJFiNwYyWwFLH0V6B3N8"	"2020-09-04"	"Del Mar"	83
"1zB4vmk8tFRmM9UULNzbLB"	"2017-06-23"	"Thunder"	83
"5VlTQnZO89Ioku8ssdbqJk"	"2020-09-18"	"Dead Man Walking"	83
"5dOxHHMOFAbG3VH23t0xNm"	"2020-07-10"	"Righteous"	83
"4SFknyjLcyTLJFPKD2m96o"	"2020-10-02"	"How You Like That"	83
"7LE1K0lZyRFZjSlrnm7lfD"	"2020-12-17"	"La Curiosidad (feat. Dj Nelson, Jhay Cortez, Lunay & Kendo Kaponi) - Blue Grand Prix Remix"	83
"0n2moJpAEWHwaPYYjkzMDl"	"2020-11-20"	"Blue & Grey"	83
"2BOqDYLOJBiMOXShCV1neZ"	"2018-03-09"	"Dancing On My Own"	82
